epoch,accuracy,loss,roc_auc,precision,recall,val_accuracy,val_loss,val_roc_auc,val_precision,val_recall
0,95.3072248481,0.336419108136,98.7557369368,94.9574328749,87.8255602665,92.8625664389,0.180876267974,97.5034123822,92.4855491329,82.4742268041
1,94.3450371371,0.273245660499,98.8229658344,97.8893740902,81.4657783162,92.5588458618,0.195839929225,97.5225550143,95.8860759494,78.0927835052
2,95.4000675219,0.259130124825,98.9723338535,96.8718123087,86.2810417929,92.5588458618,0.17331856552,97.9944625082,92.1511627907,81.7010309278
3,94.978055368,0.254462192664,98.7402021313,96.656325405,84.9182313749,92.6347760061,0.179478044339,97.7578151876,92.9203539823,81.1855670103
4,94.0665091155,0.244902576419,98.8819537989,98.2905982906,80.1029678982,90.8883826879,0.217690755465,97.725355942,94.6666666667,73.1958762887
5,95.2059419311,0.240004196748,98.7327665098,95.205026455,87.1895820715,92.4829157175,0.186317219646,97.3633105101,91.6426512968,81.9587628866
6,94.9105334234,0.234585036093,98.7145809977,96.9718064741,84.3731072078,91.9514047077,0.196391425648,97.4642948298,93.5185185185,78.0927835052
7,93.7035786631,0.237943429226,98.2224319793,96.4389534884,80.3755299818,91.1161731207,0.206137883874,97.1280503368,93.2907348243,75.2577319588
8,95.3494260635,0.227067038055,98.816328437,96.4852990875,86.4627498486,92.1791951405,0.189372029617,97.5486333825,92.7927927928,79.6391752577
9,94.2606347063,0.226835223205,98.4177089589,95.9677419355,82.889158086,92.0273348519,0.205518797215,96.881415556,93.8080495356,78.0927835052
10,93.484132343,0.226992881475,98.0600788649,96.3030746706,79.6789824349,90.6605922551,0.230999676099,96.7379845305,92.3322683706,74.4845360825
11,95.1130992573,0.225724173553,98.71228112,95.1575456053,86.8867353119,91.6476841306,0.18579128504,97.4149123878,90.6432748538,79.8969072165
12,96.0330857529,0.220951568529,99.0398666255,95.1530612245,90.3694730466,93.2422171602,0.170916412238,97.8210691021,91.643454039,84.793814433
13,95.8474004051,0.220817352714,98.9667418551,94.154619736,90.7328891581,93.9255884586,0.169220110573,97.719807353,91.6216216216,87.3711340206
14,94.7248480756,0.217897241227,98.4781826303,94.9915966387,85.5844942459,92.5588458618,0.190142459828,97.3708011053,93.1547619048,80.6701030928
15,95.7207967589,0.222440810883,98.8970367795,94.1827379071,90.2180496669,93.1662870159,0.166104846036,97.8737806976,90.4891304348,85.824742268
