epoch,accuracy,loss,roc_auc,precision,recall,val_accuracy,val_loss,val_roc_auc,val_precision,val_recall
0,98.6833220797,0.091945732118,99.8057551303,98.609394314,96.6384009691,98.6332574032,0.0441531330409,99.8770987538,99.2021276596,96.1340206186
1,98.9618501013,0.0672988524448,99.9175109356,99.6253512332,96.6384009691,98.2536066819,0.0525043057094,99.8432523609,99.1913746631,94.8453608247
2,98.8943281567,0.0503639844476,99.914848712,99.0411382617,96.9715324046,97.6461655277,0.0565186404233,99.7999733668,98.1132075472,93.8144329897
3,99.4767049291,0.0540958567714,99.9545038834,99.001814882,99.1217443973,98.861047836,0.0356437746795,99.8987382509,98.1912144703,97.9381443299
4,99.1053342336,0.0467591752577,99.944243027,99.2601726264,97.5166565718,97.722095672,0.0625431897522,99.751978072,98.3783783784,93.8144329897
5,99.4260634706,0.0412610178889,99.9663647318,98.8224637681,99.1217443973,98.2536066819,0.0489765591311,99.8055219558,96.6751918159,97.4226804124
6,99.2150573937,0.0534412360283,99.9707181983,99.6288277142,97.5469412477,97.722095672,0.0584523192202,99.8243871583,98.9071038251,93.2989690722
7,99.3923024983,0.0397090876364,99.9908607326,99.8764669549,97.9406420351,98.1017463933,0.0525346099114,99.8507429561,99.4550408719,94.0721649485
8,99.7045914922,0.0332304102065,99.9933200779,99.8170173833,99.1217443973,98.0258162491,0.0528561094961,99.801360514,98.9189189189,94.3298969072
9,98.9112086428,0.0426561834057,99.9702778904,99.8742533794,96.2144155058,97.3424449506,0.0775454964191,99.7858244648,99.4397759104,91.4948453608
10,99.4429439568,0.032901767962,99.9892377064,100.0,98.001211387,98.0258162491,0.0596412330966,99.8637821402,99.7252747253,93.5567010309
11,99.6623902768,0.0348828541336,99.9937878496,99.5443499392,99.2428831012,98.1017463933,0.049782177543,99.8182837105,98.1432360743,95.3608247423
12,99.1644159352,0.0377364143368,99.9666181082,99.2314786351,97.7589339794,97.3424449506,0.0807526708349,99.6837304274,98.0926430518,92.7835051546
13,97.6789331533,0.0623979567098,99.9036992664,99.5417348609,92.095699576,95.2923310554,0.139212111988,99.3932617935,98.224852071,85.5670103093
14,99.5020256583,0.0394571407138,99.9966192861,99.846295727,98.3646274985,96.886864085,0.0659927086524,99.8421426431,98.8732394366,90.4639175258
15,99.6877110061,0.0334413806228,99.9892625125,99.0682296363,99.8182919443,97.8739559605,0.0635058109902,99.7633526794,95.6852791878,97.1649484536
16,99.7214719784,0.0269404128114,99.995782967,99.8171289241,99.1823137492,97.2665148064,0.0807353486332,99.6679169487,96.5608465608,94.0721649485
17,99.3838622552,0.031889712017,99.9951911648,99.9072642968,97.8800726832,96.7350037965,0.08513935333,99.6887241574,98.3193277311,90.4639175258
18,99.3247805537,0.0324135678639,99.972011658,99.5997536946,97.9709267111,96.583143508,0.0971492096377,99.5194921931,96.2264150943,92.0103092784
19,99.5104659014,0.0360929615887,99.9847974187,99.1813220133,99.0611750454,96.7350037965,0.0851531486232,99.5236536349,95.5145118734,93.2989690722
20,99.7552329507,0.0411960439584,99.9941528533,99.8477002741,99.2731677771,97.1146545178,0.0883448753483,99.622418519,98.3425414365,91.7525773196
21,99.7467927076,0.0348802322166,99.993203135,99.6962332928,99.3943064809,97.5702353834,0.0657939951904,99.7214608325,97.0899470899,94.587628866
22,99.8396353815,0.0309169072365,99.9983202742,99.7575022734,99.6668685645,98.1776765376,0.052166258828,99.8127351215,97.8947368421,95.8762886598
23,99.8058744092,0.0318465820604,99.9967291416,99.878308488,99.4245911569,98.0258162491,0.0634035367176,99.7780564402,98.1382978723,95.1030927835
24,99.569547603,0.0281870199951,99.9947836364,99.8772629641,98.5766202302,96.9627942293,0.0921016830226,99.6726332494,98.3333333333,91.2371134021
25,99.7467927076,0.0249801144113,99.9963216132,99.726443769,99.364021805,98.1776765376,0.0790788995936,99.5935658562,98.4042553191,95.3608247423
26,99.1306549629,0.033381532125,99.9821537997,99.8131423233,97.0623864325,95.9757023538,0.144585563802,99.4475686083,98.833819242,87.3711340206
27,99.7552329507,0.0395774412695,99.9881072581,99.7265268915,99.3943064809,97.3424449506,0.101474869844,99.4415345178,97.8319783198,93.0412371134
28,99.6961512492,0.0327015067006,99.9873311822,99.3950393224,99.5154451847,96.6590736522,0.110834117088,99.4636595164,95.7446808511,92.7835051546
