epoch,accuracy,loss,roc_auc,precision,recall,val_accuracy,val_loss,val_roc_auc,val_precision,val_recall
0,96.9783929777,0.302518983776,99.4284435008,95.5255899479,93.6317212376,95.8997722096,0.115707003185,99.0101878789,93.7321937322,91.135734072
1,97.2653612424,0.262748602,99.5699856462,93.9713198712,96.4553920096,95.8238420653,0.108684899341,99.2104104127,92.5,92.243767313
2,96.4804186361,0.238388384004,99.3285713263,93.4367541766,94.0823069991,95.1404707669,0.124271902998,98.7618655756,90.4632152589,91.9667590028
3,96.8517893315,0.228939155201,99.5178289823,93.3685446009,95.5842595374,95.747911921,0.110997125733,99.0226474577,91.3279132791,93.351800554
4,96.1850101283,0.225166028694,99.3414205223,97.0251716247,89.1559026735,94.9886104784,0.127268057444,99.0432202506,95.3846153846,85.8725761773
5,96.6745442269,0.214582315456,99.3655982734,95.6454121306,92.3700811054,95.3682611997,0.115322771517,98.9683178989,93.8596491228,88.91966759
6,96.6407832546,0.212178361227,99.4042754466,95.1061865189,92.8206668669,95.5960516325,0.119371882615,98.8661783284,92.4369747899,91.4127423823
7,96.1090479406,0.210892409368,99.163636874,95.4949238579,90.4175428056,95.1404707669,0.142291689714,98.3182466185,93.0434782609,88.91966759
8,96.2947332883,0.203079474608,99.2532753549,95.2978056426,91.3187143286,94.30523918,0.131647498185,98.5890251394,91.091954023,87.811634349
9,96.1174881837,0.199214751317,99.2088867423,93.9087848179,92.1598077501,94.608959757,0.146747913701,98.4679064431,90.5027932961,89.7506925208
10,95.5688723835,0.200949446549,99.1082344129,95.9672131148,87.9243015921,94.2293090357,0.147563452137,98.3599717197,93.5779816514,84.7645429363
11,96.2440918298,0.196373130223,99.342263266,95.3459119497,91.0784019225,94.9886104784,0.140115735731,98.6358209993,92.507204611,88.91966759
12,95.7967589467,0.195457730571,99.1728092041,91.5712187959,93.6617602884,94.0774487472,0.144767187988,98.4214003408,87.3350923483,91.6897506925
13,95.509790682,0.191027182993,99.0550869082,90.5715114592,93.7819164914,93.3940774487,0.154263163035,98.3669259032,85.1282051282,91.9667590028
14,96.0077650236,0.193196246988,99.1281755259,94.101297097,91.528987684,93.9255884586,0.142064980376,98.3550458397,88.91966759,88.91966759
15,96.0330857529,0.189462364766,99.1864341475,96.2771123341,89.3361369781,94.1533788914,0.142634386902,98.3373706232,92.0118343195,86.1495844875
16,95.7123565159,0.180312945402,99.2137536751,96.813806837,87.6239110844,94.1533788914,0.141530936184,98.4651537454,94.099378882,83.9335180055
17,95.8896016205,0.180813239421,99.1556493215,92.316855271,93.1210573746,93.2422171602,0.155710137379,98.1272963294,85.9788359788,90.027700831
18,95.6954760297,0.185723172419,99.1610769079,90.5378199597,94.5629318114,93.6218678815,0.150072250433,98.427775009,85.6041131105,92.243767313
19,95.3494260635,0.180057001005,99.1876903292,97.3092643052,85.8215680384,93.3181473045,0.157362846767,98.348598732,93.3333333333,81.4404432133
20,95.4760297097,0.181034882132,99.0631899413,96.1347869177,87.413637729,93.6977980258,0.149159143029,98.307235828,92.1212121212,84.2105263158
21,95.6617150574,0.17641335257,99.1175363282,96.1021945627,88.1345749474,93.9255884586,0.153249388228,98.0299377601,91.9402985075,85.3185595568
22,96.0330857529,0.179831226968,99.1854318467,94.9386985225,90.7179333133,94.5330296128,0.144988601141,98.2848520497,90.9348441926,88.91966759
23,95.9993247806,0.171622919602,99.1716649769,93.1138628813,92.6103935116,94.0015186029,0.14760956197,98.2889810962,89.1666666667,88.91966759
24,96.0837272113,0.175700037867,99.2274791129,93.9821922014,91.9495343947,94.1533788914,0.142149630558,98.3246212868,89.8876404494,88.6426592798
25,96.0752869683,0.173798187154,99.2258764895,93.7920489297,92.1297686993,93.9255884586,0.148262082786,98.3478018985,89.3557422969,88.3656509695
