epoch,accuracy,loss,roc_auc,precision,recall,val_accuracy,val_loss,val_roc_auc,val_precision,val_recall
0,99.7383524646,0.0404710965259,99.9713273223,99.6089049338,99.4592970862,98.861047836,0.0438820543411,99.7664553368,98.0555555556,97.783933518
1,99.8818365969,0.0133062317315,99.9894524814,99.9698522762,99.60949234,98.7851176917,0.0580594045788,99.7875352056,98.3193277311,97.2299168975
2,99.9409182984,0.00363071077052,99.9899637694,99.9098557692,99.8798437969,98.6332574032,0.0903073572979,99.6914081063,97.2451790634,97.783933518
3,99.9662390277,0.00281928907361,99.9906557713,99.9099369559,99.9699609492,98.9369779803,0.0823713053992,99.7349441927,97.7961432507,98.3379501385
4,99.9662390277,0.00204778089368,99.9907165969,99.9399218985,99.9399218985,98.9369779803,0.0909511569074,99.7333505256,98.0609418283,98.0609418283
5,99.9662390277,0.0020319782777,99.9909704778,99.9399218985,99.9399218985,98.9369779803,0.093482789568,99.7365378597,97.7961432507,98.3379501385
6,99.9662390277,0.0018611129589,99.9910163175,99.9699428915,99.9098828477,99.0129081245,0.0951151713321,99.7425503309,98.0662983425,98.3379501385
7,99.9662390277,0.00176687551877,99.9911864529,99.9699428915,99.9098828477,99.0129081245,0.0993068976082,99.7460274227,98.0662983425,98.3379501385
8,99.9662390277,0.0017571154083,99.991329261,99.9399218985,99.9399218985,98.9369779803,0.102745865519,99.7508084238,97.7961432507,98.3379501385
9,99.9662390277,0.00176450068422,99.9914103618,99.9399218985,99.9399218985,98.9369779803,0.105116433003,99.7502289085,97.7961432507,98.3379501385
10,99.9662390277,0.00176573603131,99.9915029226,99.9699428915,99.9098828477,98.9369779803,0.108278395311,99.7526194091,97.7961432507,98.3379501385
11,99.9662390277,0.00177634200931,99.991543473,99.9699428915,99.9098828477,98.9369779803,0.109556777292,99.7526194091,97.7961432507,98.3379501385
12,99.9662390277,0.00177389954018,99.9915637482,99.9699428915,99.9098828477,98.9369779803,0.110712058894,99.751532818,97.7961432507,98.3379501385
13,99.9662390277,0.00177873053181,99.991515264,99.9399218985,99.9399218985,98.9369779803,0.110765108114,99.750663545,97.7961432507,98.3379501385
14,99.9662390277,0.00176951293234,99.9915963649,99.9399218985,99.9399218985,98.9369779803,0.111963291159,99.7538508791,97.7961432507,98.3379501385
15,99.9662390277,0.00178350960214,99.9916034171,99.9699428915,99.9098828477,98.9369779803,0.112856865088,99.6916254245,97.7961432507,98.3379501385
16,99.9662390277,0.00176122066892,99.9917100824,99.9699428915,99.9098828477,98.9369779803,0.115638500213,99.6930017733,97.7961432507,98.3379501385
17,99.9662390277,0.00174699475136,99.9917744341,99.9699428915,99.9098828477,98.9369779803,0.117087678837,99.6951749557,97.7961432507,98.3379501385
18,99.9662390277,0.00175557944306,99.9917929463,99.9699428915,99.9098828477,98.9369779803,0.118209287661,99.6947403192,97.7961432507,98.3379501385
19,99.9662390277,0.00174079563257,99.9918237999,99.9699428915,99.9098828477,98.9369779803,0.119685130661,99.6930017733,97.7961432507,98.3379501385
20,99.9662390277,0.0017605101225,99.9918255629,99.9699428915,99.9098828477,98.9369779803,0.119547771623,99.6935812886,97.7961432507,98.3379501385
21,99.9662390277,0.00175773772838,99.9918343782,99.9699428915,99.9098828477,98.9369779803,0.119430973777,99.6940883645,97.7961432507,98.3379501385
22,99.9662390277,0.00175894491296,99.9918061692,99.9699428915,99.9098828477,98.9369779803,0.119408882575,99.6958993498,97.7961432507,98.3379501385
23,99.9662390277,0.00174712553828,99.9919004931,99.9699428915,99.9098828477,98.9369779803,0.12067134384,99.699448881,97.7961432507,98.3379501385
24,99.9662390277,0.00174830634613,99.9918960854,99.9699428915,99.9098828477,98.9369779803,0.120632559233,99.6991591233,97.7961432507,98.3379501385
25,99.9662390277,0.00174363976042,99.9919190052,99.9699428915,99.9098828477,98.9369779803,0.121143384713,99.7025637757,97.7961432507,98.3379501385
26,99.9662390277,0.00174147793928,99.9919198867,99.9699428915,99.9098828477,98.9369779803,0.121461771982,99.7023464574,97.7961432507,98.3379501385
27,99.9662390277,0.00174898431825,99.9917682634,99.9399218985,99.9399218985,98.9369779803,0.112912827124,99.6853956351,97.7961432507,98.3379501385
28,98.286630655,0.0662592255985,99.8577270654,99.3059936909,94.5629318114,96.6590736522,0.0962646273145,99.361953662,97.3134328358,90.3047091413
29,99.569547603,0.0364872753774,99.9889826254,99.5465538089,98.9185941724,97.3424449506,0.0844795548286,99.5268257629,95.7865168539,94.459833795
30,99.7214719784,0.0129261407643,99.9909026,99.7284248642,99.2790627816,97.9498861048,0.122132119329,99.4313506183,98.2658959538,94.1828254848
31,99.8480756246,0.0165048105621,99.9884360762,99.7894736842,99.6695704416,98.2536066819,0.0759114600614,99.6580859769,97.2067039106,96.3988919668
