epoch,accuracy,loss,roc_auc,precision,recall,val_accuracy,val_loss,val_roc_auc,val_precision,val_recall
0,78.71993248,0.521112128214,83.7254373733,61.1111111111,65.7344064386,79.4430379747,0.44736036023,83.8729366723,63.9964788732,64.3362831858
1,86.4425376284,0.373062674063,90.8997947851,80.6023664396,67.847082495,85.6455696203,0.332970383288,90.6796271889,79.8515376458,66.6371681416
2,88.3556055704,0.314739816082,93.0739713619,89.4786987886,66.1368209256,88.1772151899,0.296236616886,92.4643507186,90.2794653706,65.7522123894
3,89.6441130961,0.284256876478,94.4924852768,86.6752607524,74.4064386318,89.0632911392,0.275561625957,93.5207117304,86.9703389831,72.6548672566
4,89.3008862006,0.263839747089,95.0090398867,94.7760105063,65.3420523139,88.0,0.286984702092,93.6903674763,91.5189873418,63.982300885
5,90.4599803067,0.243786897204,95.5779020933,85.3198144752,79.5774647887,89.3670886076,0.272138010716,94.2939810456,83.8740458015,77.7876106195
6,91.2477141651,0.232916277389,96.265220497,87.6502370713,79.9698189135,90.0,0.259160950516,94.7466264985,86.2068965517,77.4336283186
7,91.4587143058,0.219116205236,96.4941995264,93.476070529,74.6680080483,89.417721519,0.259790619114,94.1961730371,90.5466970387,70.3539823009
8,92.6290617527,0.205032619301,97.2367798865,91.534271448,81.1468812877,89.9493670886,0.256738722807,94.4985799912,87.0576339737,76.1946902655
9,93.0482486988,0.194458583049,97.6350514727,91.6193023515,82.7062374245,90.1265822785,0.262563162725,94.7933141907,87.0741482966,76.9026548673
10,93.8781825855,0.1803033777,97.9729685475,94.4266422522,83.0080482897,90.2025316456,0.273042374502,94.7422958639,88.3384932921,75.7522123894
11,94.0301026867,0.168870726743,98.2098511789,97.0510351468,81.1167002012,89.5949367089,0.299526564154,94.4487855394,89.6361631753,71.9469026549
12,94.4746096497,0.158567816979,98.3462060196,96.0189245327,83.7122736419,90.4303797468,0.277175511152,94.9531710914,89.4129979036,75.4867256637
13,93.3183288789,0.149099808891,97.695930612,94.9494949495,80.3822937626,89.6708860759,0.306107191028,94.084282621,90.022172949,71.8584070796
14,94.8093965396,0.137243242271,98.5803155194,95.5440531113,85.4225352113,90.5063291139,0.348858291605,94.4356367288,88.6386898669,76.6371681416
15,95.4677169785,0.127548709308,98.8606697793,97.8953421507,85.6338028169,90.9873417722,0.325650007363,94.6695851378,91.3461538462,75.6637168142
16,95.4114502743,0.123256129814,98.7334371391,97.5288868551,85.7645875252,90.4556962025,0.32020669575,94.4793902592,88.379204893,76.7256637168
17,95.3833169222,0.120051216061,98.8780634402,99.0310764504,84.3158953722,90.1265822785,0.367313583576,94.5225475428,91.3870246085,72.3008849558
18,96.0782107188,0.119419341296,99.1009348416,99.0923713235,86.7706237425,90.7594936709,0.35051658063,94.9096293856,89.802289282,76.3716814159
19,95.4592769729,0.10688220218,98.851266258,96.3999108337,87.0120724346,90.8101265823,0.361922017396,94.8762866378,88.698284561,77.7876106195
20,95.5324236883,0.107910152374,98.9138208474,99.5256166983,84.4265593561,90.5569620253,0.399614781971,94.3244837758,93.4557979334,72.0353982301
