epoch,accuracy,loss,roc_auc,precision,recall,val_accuracy,val_loss,val_roc_auc,val_precision,val_recall
0,94.2690749494,0.34431015441,98.2417749366,94.4929482874,84.5298888555,94.30523918,0.166344478896,98.1507666987,95.253164557,83.379501385
1,95.3156650912,0.271076827255,98.6888257587,92.2865853659,90.9282066687,95.0645406226,0.130169697598,98.6760973122,91.5730337079,90.3047091413
2,94.9949358542,0.256814005999,98.6458149791,91.2048192771,90.9582457194,94.5330296128,0.145818820898,98.2336373857,91.1680911681,88.6426592798
3,95.4169480081,0.245001577762,98.8333236776,92.7300613497,90.8080504656,94.9886104784,0.136428126911,98.5822158347,93.0029154519,88.3656509695
4,95.0118163403,0.239583880253,98.7156243015,95.092226614,86.7227395614,94.4570994685,0.139892763592,98.3647527208,95.0,84.2105263158
5,95.2650236327,0.231423527858,98.8690309728,95.7974851092,86.9630519676,94.6848899013,0.136511797655,98.6335029381,95.0464396285,85.0415512465
6,95.3663065496,0.224265596085,98.9119738745,96.4572192513,86.6927005107,94.4570994685,0.139849011828,98.4045943972,95.5696202532,83.6565096953
7,95.1806212019,0.218358023063,98.7123670444,93.0668332292,89.5163712827,94.5330296128,0.140075301668,98.3527277785,91.4040114613,88.3656509695
8,95.509790682,0.214699069545,98.8411049519,92.4688733677,91.4689095825,93.8496583144,0.153492530922,98.1426534846,88.4615384615,89.1966759003
9,95.5351114112,0.211138134597,98.8675341331,92.2450211225,91.8293781916,93.9255884586,0.149191960127,98.204661621,88.91966759,88.91966759
10,95.4338284943,0.20575897134,98.7883294532,91.5623136553,92.2499249024,93.6977980258,0.147917844222,98.2785498209,88.6111111111,88.3656509695
11,95.619513842,0.211122406316,98.830875666,94.3777637397,89.7566836888,93.6977980258,0.143321498354,98.2999918868,91.369047619,85.0415512465
12,95.8558406482,0.200285626526,99.0104197318,93.9318885449,91.138480024,94.5330296128,0.148700545463,98.2872425503,93.1343283582,86.4265927978
13,95.3325455773,0.200989557286,98.8143795762,91.4823670054,91.9495343947,94.1533788914,0.149007140863,98.1432329999,89.4444444444,89.1966759003
14,95.7039162728,0.197557039735,99.0171828377,92.1650717703,92.5803544608,93.3940774487,0.142780717459,98.2939069762,87.8453038674,88.0886426593
15,95.3916272789,0.195642191787,98.9292307256,90.3450275442,93.6016821868,94.2293090357,0.142698828134,98.3304164397,88.2037533512,91.135734072
16,95.4929101958,0.194841953808,98.9278096976,91.3828842168,92.7005106639,93.8496583144,0.139299492129,98.3738800867,89.3258426966,88.0886426593
17,94.9864956111,0.18989971015,98.8742152567,96.1214165261,85.6112946831,93.8496583144,0.147451074668,98.2666697574,94.8717948718,81.9944598338
18,95.4169480081,0.191435876265,99.0203387188,89.4170911149,94.9234004205,93.1662870159,0.161752292268,98.2608746045,84.1309823678,92.5207756233
19,95.619513842,0.184820554431,99.0443551497,96.7087765957,87.3835986783,94.4570994685,0.147693631041,98.2110362892,95.2830188679,83.9335180055
20,95.9740040513,0.187454431746,99.0410300147,92.1394799054,93.6617602884,94.5330296128,0.13735855734,98.4813801736,90.2506963788,89.7506925208
21,95.7714382174,0.186116016206,98.9412142582,95.0031826862,89.6665665365,93.7737281701,0.139567532454,98.3280983785,91.8918918919,84.7645429363
22,96.0330857529,0.180277099681,99.0982836909,93.1482040447,92.7005106639,94.1533788914,0.13358821865,98.4889138724,90.1129943503,88.3656509695
23,95.8727211344,0.182988006106,99.0308818297,94.0173589585,91.1084409733,94.1533788914,0.140236946455,98.3121617079,91.2790697674,86.9806094183
24,95.5182309251,0.182633744232,99.0867426868,96.664442962,87.0531691199,94.0774487472,0.140754822345,98.5135432724,95.2076677316,82.5484764543
25,95.408507765,0.180081513654,98.9631873002,90.1181215788,93.962150796,93.9255884586,0.155062515931,98.2191495034,87.4666666667,90.8587257618
26,95.8642808913,0.178140633075,99.0625146885,91.7377241988,93.7218383899,93.6977980258,0.146945120205,98.3338935315,87.9781420765,89.1966759003
