epoch,accuracy,loss,roc_auc,precision,recall,val_accuracy,val_loss,val_roc_auc,val_precision,val_recall
0,96.6239027684,0.270871150643,99.2420122307,94.1839220463,93.6705027256,95.2923310554,0.137983683319,98.7890204521,93.1216931217,90.7216494845
1,97.3160027009,0.221255286854,99.6180005934,93.6257309942,96.9715324046,96.3553530752,0.10801882933,99.2384561606,92.7135678392,95.1030927835
2,96.9108710331,0.200279524264,99.5378273534,98.4168865435,90.3694730466,94.6848899013,0.136381658409,98.9896019442,96.4912280702,85.0515463918
3,97.7970965564,0.193804646711,99.687872224,98.223913733,93.7916414294,96.2034927866,0.109181828101,99.1366395526,96.4285714286,90.4639175258
4,98.1431465226,0.182188110952,99.7440119194,96.6686856451,96.6686856451,96.4312832194,0.105092177647,99.2581536515,94.0568475452,93.8144329897
5,97.4763673194,0.185566236207,99.5876423851,94.9685534591,96.03270745,95.747911921,0.117044456552,98.9934859565,92.5641025641,93.0412371134
6,97.1725185685,0.181672400785,99.5327988073,97.7777777778,91.9442761962,95.2164009112,0.127150318167,98.993763386,95.7746478873,87.6288659794
7,97.5945307225,0.178868459124,99.6177489889,95.5877908734,95.7904300424,95.444191344,0.116501906874,98.979614484,91.8367346939,92.7835051546
8,97.7211343687,0.169501060117,99.6986247724,95.1459201906,96.7595396729,95.5201214882,0.11149746149,99.1180517794,91.6455696203,93.2989690722
9,97.9574611749,0.164652383323,99.6817247467,97.0190534726,95.6087219867,95.3682611997,0.117101524161,98.9843307847,93.3687002653,90.7216494845
10,97.7970965564,0.161702175521,99.7489199789,94.6549192364,97.6075105996,95.444191344,0.108458765898,99.1388589882,91.6243654822,93.0412371134
11,97.9068197164,0.167439431682,99.6741996461,96.8404907975,95.6087219867,95.8238420653,0.113959848157,98.935780631,94.1644562334,91.4948453608
12,97.9237002026,0.154503211761,99.7288784407,96.0796139928,96.4869775893,95.5201214882,0.107823356828,99.0994640063,92.5064599483,92.2680412371
13,97.7717758271,0.154866585197,99.7170769497,97.0861748295,94.8516050878,94.9126803341,0.124564994211,98.7984530534,93.0294906166,89.4329896907
14,97.974341661,0.1545255884,99.7600082952,96.1700844391,96.5778316172,94.9886104784,0.119004852838,98.9837759258,91.7098445596,91.2371134021
15,97.6704929102,0.155350972558,99.7527472021,98.0928162746,93.4585099939,94.3811693242,0.137948424662,98.7271536848,94.3502824859,86.0824742268
16,98.1262660365,0.142428540996,99.7566382124,96.7516697025,96.5172622653,94.9886104784,0.120492525902,98.8703072809,91.9270833333,90.9793814433
17,98.075624578,0.147837633945,99.7879461391,97.2051597052,95.8509993943,94.9886104784,0.119878874027,98.8772430171,92.8191489362,89.9484536082
18,97.9068197164,0.148027237381,99.7215774808,97.1878862794,95.2453058752,94.9886104784,0.126257587057,98.7118950651,93.2795698925,89.4329896907
19,98.2697501688,0.145845696763,99.8046051914,98.1050015533,95.6390066626,94.5330296128,0.129316763498,98.7543417709,92.7027027027,88.4020618557
20,98.2781904119,0.141384037101,99.7966929389,97.370030581,96.4264082374,94.8367501898,0.129914784848,98.6719452243,92.328042328,89.9484536082
21,97.8139770425,0.136868513451,99.7268283957,97.0615527374,95.0333131435,94.2293090357,0.132576697836,98.6647320586,93.0939226519,86.8556701031
22,98.1769074949,0.139094113252,99.7812298938,96.447922938,97.0321017565,95.1404707669,0.130018657114,98.6511380156,91.5384615385,92.0103092784
23,98.3457123565,0.134407659251,99.8262360903,97.1177184466,96.9412477286,94.6848899013,0.131019705255,98.7199405191,91.40625,90.4639175258
24,98.286630655,0.130759622663,99.8088612055,97.57445502,96.2447001817,94.3811693242,0.13856496288,98.6067493037,92.2043010753,88.4020618557
25,98.0587440918,0.130303713225,99.7861636453,95.4437869822,97.6983646275,94.5330296128,0.139923148836,98.6225627823,88.7254901961,93.2989690722
26,97.2653612424,0.128594132602,99.4287585778,97.4808673469,92.5802543913,94.1533788914,0.158957283992,98.1842242518,92.1409214092,87.6288659794
27,98.6580013504,0.133040844436,99.8454802903,97.6934749621,97.4863718958,94.3811693242,0.134421202725,98.5862195244,90.4639175258,90.4639175258
28,98.4047940581,0.125712454302,99.8495272245,96.2006530128,98.1526347668,93.5459377373,0.151356638024,98.2999123323,87.7805486284,90.7216494845
29,98.4554355165,0.120739696932,99.8364101255,96.455168305,98.0617807389,94.7608200456,0.141982940953,98.4355753332,89.1891891892,93.5567010309
