epoch,accuracy,loss,roc_auc,precision,recall,val_accuracy,val_loss,val_roc_auc,val_precision,val_recall
0,99.7552329507,0.0315954355622,99.9395564503,99.8477002741,99.2731677771,99.2406985573,0.0218658504326,99.9619921654,99.4764397906,97.9381443299
1,99.9155975692,0.0107530199084,99.9620856836,99.8485766202,99.8485766202,99.4684889901,0.0173860775412,99.9672633249,99.4805194805,98.7113402062
2,99.9577987846,0.00581101110482,99.9667004998,99.9696877842,99.8788612962,99.4684889901,0.0216897103536,99.9606050181,99.7389033943,98.4536082474
3,99.9577987846,0.00415616721361,99.9663611881,99.9394122993,99.9091459721,99.3166287016,0.0203743655291,99.9789153618,99.7375328084,97.9381443299
4,99.9577987846,0.00389547747438,99.9667465682,99.9394122993,99.9091459721,99.6962794229,0.0183597308599,99.96976019,99.7409326425,99.2268041237
5,99.9577987846,0.00332000728219,99.9672878723,99.9091734787,99.9394306481,99.6203492787,0.0218728123263,99.9622695948,99.7402597403,98.9690721649
6,99.9577987846,0.00323321472348,99.9675961763,99.9091734787,99.9394306481,99.6203492787,0.0247597027277,99.9506869153,99.7402597403,98.9690721649
7,99.9577987846,0.00321638214801,99.9677458987,99.8789712557,99.969715324,99.6962794229,0.0235654944574,99.9587323694,99.7409326425,99.2268041237
8,99.9577987846,0.00320751815243,99.9682854309,99.9091734787,99.9394306481,99.6203492787,0.0268631039273,99.9524902067,99.7402597403,98.9690721649
9,99.9577987846,0.00323568815364,99.9685786742,99.9696877842,99.8788612962,99.3166287016,0.0305395011093,99.9570677927,99.7375328084,97.9381443299
10,99.9493585415,0.00467239023916,99.9668812298,99.9393939394,99.8788612962,99.7722095672,0.0125528541169,99.9822445152,99.7416020672,99.4845360825
11,99.4429439568,0.0273692507495,99.9187140303,99.3593654667,98.6371895821,99.1647684131,0.0270053956505,99.9317523554,98.961038961,98.1958762887
12,99.8480756246,0.0168404245641,99.9652201086,99.7274379164,99.7274379164,99.3925588459,0.0206285059544,99.9581081531,99.4791666667,98.4536082474
13,99.6961512492,0.0103258262445,99.9587173727,99.0685096154,99.8485766202,98.861047836,0.041487958947,99.8687065129,97.9434447301,98.1958762887
14,99.3838622552,0.0126088604228,99.966955648,99.9072642968,97.8800726832,98.3295368261,0.0739178657885,99.911777435,99.7282608696,94.587628866
15,99.8227548953,0.0142461623142,99.9701494304,99.7573551714,99.6062992126,99.0888382688,0.0399885504014,99.8975591757,99.7354497354,97.1649484536
16,99.8987170831,0.0101971418775,99.97190889,99.9089805825,99.7274379164,99.2406985573,0.0454658514835,99.8551124699,99.21875,98.1958762887
17,99.8058744092,0.0142829749084,99.9651279717,99.5167623075,99.7880072683,98.6332574032,0.0448627806891,99.8795956188,97.9274611399,97.4226804124
18,99.9577987846,0.00682753301854,99.9692032557,99.9091734787,99.9394306481,99.3166287016,0.0276154739628,99.950617558,98.7146529563,98.9690721649
19,99.9577987846,0.00345271913969,99.9700316015,99.9394122993,99.9091459721,99.3925588459,0.0260868292435,99.9606050181,99.4791666667,98.4536082474
20,99.9577987846,0.00325650657293,99.9704471033,99.8789712557,99.969715324,99.5444191344,0.0275186084887,99.9555419307,99.2268041237,99.2268041237
21,99.9577987846,0.003185074283,99.970721742,99.9394122993,99.9091459721,99.6203492787,0.0284886013367,99.9567210058,99.4832041344,99.2268041237
22,99.9577987846,0.0031576023539,99.9709937229,99.8789712557,99.969715324,99.6203492787,0.03041400872,99.9535999245,99.4832041344,99.2268041237
23,99.9577987846,0.00313082261704,99.9713764453,99.9394122993,99.9091459721,99.4684889901,0.0325751468761,99.9531837804,99.4805194805,98.7113402062
24,99.9577987846,0.00317658120354,99.9714145403,99.9394122993,99.9091459721,99.5444191344,0.0314982836458,99.9547096423,99.2268041237,99.2268041237
25,99.9577987846,0.00314026709047,99.9714907304,99.8789712557,99.969715324,99.4684889901,0.031399179661,99.9351508661,98.971722365,99.2268041237
26,99.9577987846,0.00309850677093,99.9717892892,99.9394122993,99.9091459721,99.5444191344,0.0320386240465,99.9345960072,99.2268041237,99.2268041237
27,99.9577987846,0.00311780635973,99.9719912816,99.9696877842,99.8788612962,99.5444191344,0.0328267220368,99.9334862894,99.2268041237,99.2268041237
28,99.9577987846,0.00310741125475,99.9721489774,99.9696877842,99.8788612962,99.5444191344,0.0331090328678,99.9343185778,99.2268041237,99.2268041237
29,99.9577987846,0.00308825633995,99.9722933842,99.9696877842,99.8788612962,99.5444191344,0.0336257537018,99.93320886,99.2268041237,99.2268041237
30,99.9577987846,0.00311100017251,99.9722322549,99.9696877842,99.8788612962,99.4684889901,0.0330398012806,99.9346653646,98.971722365,99.2268041237
31,99.9577987846,0.00320712854905,99.9712134339,99.9394122993,99.9091459721,99.2406985573,0.0397958029166,99.9248859765,98.2142857143,99.2268041237
32,99.5611073599,0.0311421373272,99.9603545738,99.3920972644,99.0308903695,98.0258162491,0.0586671573304,99.7525329309,97.8835978836,95.3608247423
33,99.3923024983,0.0295690862383,99.9605521365,98.2377538829,99.6062992126,98.0258162491,0.0990574114992,99.5631179741,96.6494845361,96.6494845361
34,99.8649561107,0.0136544541611,99.9846565556,99.8180715585,99.6971532405,98.2536066819,0.0597339944466,99.7913730538,97.9002624672,96.1340206186
35,99.8480756246,0.00885484181979,99.9880168931,99.7274379164,99.7274379164,98.2536066819,0.0705792545274,99.7271481362,98.927613941,95.1030927835
