epoch,accuracy,loss,roc_auc,precision,recall,val_accuracy,val_loss,val_roc_auc,val_precision,val_recall
0,75.3186102124,0.587744035139,76.2783165193,64.7525228256,26.9473052695,75.3924050633,0.492837935369,76.7449003812,60.0,27.2217025257
1,81.831481221,0.455351148287,85.6125392981,78.2761372706,49.0350964904,82.582278481,0.4080106924,86.0159900565,77.0981507824,50.7015902713
2,85.0443100295,0.390604734759,89.9734323859,85.020182389,56.8643135686,85.2405063291,0.350238569718,89.225057301,83.10626703,57.0626753976
3,85.3340835561,0.353688859617,90.3760916776,87.867763366,55.5444455554,85.8987341772,0.345032326104,89.8820990659,86.5714285714,56.6884939196
4,87.4806583204,0.342006500815,92.1909959215,85.1997463538,67.1732826717,87.1139240506,0.320812499719,91.1700282065,82.3325635104,66.6978484565
5,87.596005064,0.321696087176,92.5591142538,88.2908792112,64.4635536446,87.7215189873,0.311246946628,91.77049142,86.2282878412,65.0140318054
6,88.3499789,0.307852879786,93.3810369355,91.1632481034,64.8835116488,87.4683544304,0.304564360712,91.9290412428,87.0801033592,63.0495790458
7,88.591925728,0.296950091646,93.8369640761,91.4991624791,65.5434456554,88.5063291139,0.294751301204,92.5051846084,89.0724269377,65.5753040225
8,89.0926993951,0.284351852698,94.4260991024,92.2811378072,66.8233176682,88.0759493671,0.294057656285,92.9013968165,87.9441624365,64.8269410664
9,89.5653397102,0.280878297026,94.4929511707,89.7925626107,70.9829017098,87.9746835443,0.292541341933,92.6075455169,84.8591549296,67.6333021515
10,88.8141792095,0.273067819845,94.0486811795,90.7921462424,67.0432956704,88.0,0.306845188088,92.1448271294,87.1410736579,65.2946679139
11,89.1011394008,0.267725739616,94.7429411459,93.6707056308,65.703429657,88.1518987342,0.311268648339,92.1499329987,89.6961690885,63.5173058934
12,91.123927416,0.256921554751,95.867268014,91.2807525326,75.6824317568,88.9620253165,0.28108705166,93.3891087993,85.601799775,71.1880261927
13,90.3868335912,0.254015560747,95.7344357171,93.9754207855,70.3429657034,88.0506329114,0.299499133524,92.9001710831,87.5471698113,65.1075771749
14,90.5500070333,0.251147088258,95.8278667122,94.8057204533,70.2629737026,87.8987341772,0.291554957764,93.1419490101,87.3577749684,64.6398503274
15,91.9651146434,0.239757539504,96.7352435795,93.5405240707,76.7423257674,89.0632911392,0.275748169535,93.6058038392,87.5147232038,69.5042095416
16,87.6578984386,0.236751223043,92.8214278087,92.0461354104,61.4438556144,86.6582278481,0.335282664601,90.6225231664,88.8252148997,57.9981290926
17,92.1986214657,0.229721307371,96.7416742901,92.9216152019,78.2321767823,89.2658227848,0.290023355386,93.3205976124,85.5567805954,72.5912067353
18,92.5165283444,0.224581198169,97.1205549348,93.371144984,79.0120987901,89.417721519,0.278092751088,93.654240599,85.8875413451,72.8718428438
19,92.1114080743,0.222580344741,96.9409244481,94.1371274378,76.7423257674,89.8734177215,0.289171220411,93.7514631684,88.5813148789,71.8428437792
20,92.3055282037,0.218548975597,97.00359699,94.456681351,77.1822817718,89.0126582278,0.30368426083,93.3550886116,86.4523536165,70.4396632367
21,92.5699817133,0.215473608301,97.3230917395,96.582278481,76.2923707629,89.3924050633,0.287468568615,93.3148098782,88.96882494,69.4106641721
22,93.1410887607,0.207860199517,97.591316757,94.1506129597,80.6319368063,89.3924050633,0.285546402328,93.784168331,85.0971922246,73.7137511693
23,92.6768884513,0.204321423979,97.3114918386,96.5283018868,76.7323267673,88.9873417722,0.292363799667,93.5225026779,88.1927710843,68.4752104771
24,93.1495287664,0.202483058506,97.6140226566,96.9471332837,78.1121887811,89.417721519,0.297286411924,93.8642225165,88.0701754386,70.4396632367
25,91.7287944859,0.200898235429,96.4046488986,95.1066819982,74.4325567443,88.3291139241,0.291291181256,93.0294250678,86.7149758454,67.165575304
26,92.8513152342,0.19610733648,97.5728068244,96.8005018821,77.1422857714,88.9873417722,0.30054925358,93.4205070542,87.5592417062,69.1300280636
27,91.3827542552,0.197747546911,96.456039097,96.4764201501,72.00279972,87.6202531646,0.324852327848,92.4322007125,88.6666666667,62.2076707203
28,93.7712758475,0.192923445735,98.0033080312,97.1082879613,80.2519748025,89.6708860759,0.300253792269,93.8125550159,87.8579610538,71.7492984097
29,93.9822759882,0.191282497887,98.0787048918,94.946261148,83.0316968303,89.5443037975,0.29407195135,94.0996444886,84.1666666667,75.5846585594
30,93.6277957519,0.192562602103,98.0299578091,97.6237379956,79.2820717928,89.5696202532,0.319313169235,93.6514725522,88.2421420256,70.9073900842
31,92.6628217752,0.185964139631,97.3382442722,95.4953846154,77.5822417758,89.2658227848,0.315791669405,93.4034036098,87.6312718786,70.2525724977
32,92.5193416796,0.182705623864,97.1439669962,95.8760309923,76.7123287671,88.4050632911,0.331231290087,92.9053662442,86.5868263473,67.6333021515
33,93.3689689126,0.180912554429,97.8685713679,97.9668674699,78.0521947805,88.8860759494,0.328980913887,93.3128048707,88.1355932203,68.1010289991
34,92.6909551273,0.178726463122,97.3816218441,95.9642369303,77.2722727727,88.5063291139,0.300960971147,93.0365034748,86.5636147444,68.1010289991
35,92.6403150935,0.179921378279,97.2538704672,96.9604476663,76.2323767623,88.8101265823,0.310436251088,93.35696374,88.1851400731,67.726847521
36,93.2001688001,0.178219585322,97.8766296953,97.8908815357,77.502249775,88.6075949367,0.331583856872,92.8461657601,88.1627620222,66.8849391955
37,94.0582360388,0.176316198392,98.1809337466,96.0107313659,82.301769823,89.6455696203,0.305247026433,94.0495030666,85.7142857143,74.0879326473
38,93.4196089464,0.173639599386,98.0426772348,98.6785260483,77.6522347765,88.8607594937,0.324133234492,93.3767784092,89.3617021277,66.791393826
39,94.1454494303,0.169211386812,98.3265959538,98.0,80.8419158084,89.5443037975,0.300408933163,93.5962009086,88.3177570093,70.7202993452
40,94.800956534,0.170073271629,98.5751434644,96.9048440916,84.2115788421,90.1012658228,0.299136726773,94.3103488583,86.295503212,75.3975678204
41,94.7925165283,0.166968894186,98.5837817134,97.4388824214,83.6916308369,89.3924050633,0.306905693495,93.8806278612,85.8719646799,72.7782974743
42,94.2607961739,0.163493341882,98.3666150493,97.619332456,81.5918408159,88.7594936709,0.313538948614,93.2020586475,86.0438292964,69.7848456501
43,94.3677029118,0.163013305113,98.3476791297,97.6641639852,81.9418058194,89.1139240506,0.347179445481,93.3733447324,86.4310148233,70.9073900842
44,94.67998312,0.161228035498,98.5828349126,98.6211031175,82.2417758224,89.3924050633,0.326284835429,93.5595750228,87.7030162413,70.7202993452
45,93.9372626248,0.170974939299,98.1354509006,97.6786582402,80.3619638036,88.9620253165,0.328018037005,93.2704967775,88.0866425993,68.4752104771
46,94.1313827543,0.169336469498,98.2438909648,96.183918777,82.4117588241,89.5696202532,0.323028116905,93.7135547273,86.8686868687,72.4041159963
47,94.3339428893,0.161817670748,98.526409495,98.814325877,80.8319168083,88.6835443038,0.33970830903,93.2568351273,88.112745098,67.2591206735
48,95.4255169503,0.15829812632,98.7907959322,97.6014550415,85.8514148585,89.6708860759,0.32625742781,94.3378345075,84.6799580273,75.4911131899
49,94.4464762977,0.160976748829,98.4416853492,98.6190187765,81.401859814,89.4936708861,0.339454616187,93.8536049061,88.7440758294,70.0654817587
50,94.4661696441,0.159636375211,98.5911749805,99.1556534508,81.0218978102,89.1392405063,0.34502263211,93.4354674947,89.119804401,68.1945743686
