epoch,accuracy,loss,roc_auc,precision,recall,val_accuracy,val_loss,val_roc_auc,val_precision,val_recall
0,95.4000675219,0.346351965422,98.6211391645,93.8593700286,89.3397940642,94.0015186029,0.173201674849,97.7311819604,92.7977839335,86.3402061856
1,94.3112761648,0.288573376316,98.3731430703,89.3648891552,90.3391883707,92.4069855733,0.202990100863,97.4132478111,88.2978723404,85.5670103093
2,93.7457798785,0.280602218079,97.8528497859,89.9531981279,87.3107207753,93.0903568717,0.19923124459,97.1258309012,90.4632152589,85.5670103093
3,94.7332883187,0.266307546028,98.4162161647,91.2762022195,89.6729254997,93.3940774487,0.182901673228,97.7150910523,91.0081743869,86.0824742268
4,94.2943956786,0.256441254941,98.1795307555,93.4768211921,85.493640218,92.0273348519,0.193694274796,97.4021506331,91.2536443149,80.6701030928
5,94.336596894,0.261174568166,98.1947023292,92.6971762415,86.4930345245,92.1032649962,0.194044470216,97.4212932651,91.2790697674,80.9278350515
6,94.4632005402,0.255443792078,98.2847306691,90.2617163725,89.8243488795,92.6347760061,0.193484151344,97.3580393506,88.188976378,86.5979381443
7,94.0411883862,0.2481440516,98.1896835283,93.9701897019,84.0096910963,92.4829157175,0.201430628776,97.2777928823,93.6555891239,79.8969072165
8,94.3956785955,0.243934366507,98.1981069632,92.9361979167,86.4627498486,92.4829157175,0.187488670603,97.3877243017,91.6426512968,81.9587628866
9,93.7964213369,0.240055752175,98.0089287347,93.1718802556,83.8885523925,91.7236142749,0.202477596101,97.146083251,91.1504424779,79.6391752577
10,94.9442943957,0.232807903305,98.4872900042,93.1927133269,88.3101150818,92.4069855733,0.184867874014,97.4806631674,90.0,83.5051546392
11,94.5054017556,0.237442896726,98.2500012757,92.8825622776,86.9473046638,93.1662870159,0.186398289747,97.4343324493,92.5714285714,83.5051546392
12,94.7586090479,0.23611790298,98.4206963193,93.2838230546,87.492428831,92.9384965831,0.18171774861,97.5283810327,92.507204611,82.7319587629
13,93.9989871708,0.236438700878,98.0770116701,93.1689436854,84.6759539673,91.9514047077,0.206026973111,97.1394249442,91.2280701754,80.412371134
14,94.5813639433,0.22411687159,98.4437172445,91.6666666667,88.6129618413,93.0144267274,0.180837460434,97.695116132,90.8839779006,84.793814433
15,95.1046590142,0.230547883598,98.7064915589,92.4781523096,89.7334948516,93.0144267274,0.179126658355,97.6410173893,90.4371584699,85.3092783505
16,93.9989871708,0.226642468173,98.1578768224,93.5462184874,84.2822531799,92.1791951405,0.205744932457,97.1707744721,93.3130699088,79.1237113402
17,94.0243079001,0.222478035412,97.9870931857,92.1651495449,85.8570563295,92.7866362946,0.200702763907,97.0475957964,91.7378917379,82.9896907216
18,95.4422687373,0.227100012312,98.7560930812,92.0523751523,91.5505754088,93.0144267274,0.168916281514,97.7911067216,89.7849462366,86.0824742268
19,94.5898041864,0.217774656176,98.5706880341,89.5393759287,91.2477286493,92.9384965831,0.180323376256,97.7567054698,87.9177377892,88.1443298969
20,94.8092505064,0.223077834784,98.509231865,91.9450515142,89.1883706844,93.6218678815,0.172455175727,97.7497697336,92.6966292135,85.0515463918
21,93.9483457124,0.217720941232,97.900157632,90.6830343091,87.2501514234,92.2551252847,0.198713572089,97.1166757294,89.5027624309,83.5051546392
22,93.8808237677,0.22728795932,98.1287748647,92.4826904055,84.9485160509,92.8625664389,0.195426624271,97.1574578585,91.061452514,84.0206185567
23,94.3619176232,0.218686426522,98.3473482942,89.2665474061,90.6723198062,92.7107061503,0.192855008082,97.2614939021,88.6243386243,86.3402061856
24,94.8852126941,0.221795157715,98.5308042924,92.2570532915,89.1278013325,92.4829157175,0.188107987432,97.4595785292,89.8071625344,84.0206185567
25,93.9483457124,0.216548571105,98.0533927413,92.586490939,85.0999394306,91.7995444191,0.201215208097,97.118895165,92.4242424242,78.6082474227
