epoch,accuracy,loss,roc_auc,precision,recall,val_accuracy,val_loss,val_roc_auc,val_precision,val_recall
0,97.3582039163,0.0926199145313,99.6383716979,98.6649299902,91.7625681405,97.7980258162,0.0663130610316,99.7564169432,99.4490358127,93.0412371134
1,98.0503038488,0.0755198419014,99.8022946826,98.6071541627,94.3367655966,98.1776765376,0.0524382777314,99.8493558088,99.4565217391,94.3298969072
2,97.434166104,0.066234378656,99.6051793954,98.2303732304,92.4591156875,97.2665148064,0.0758524048471,99.6054953225,96.8085106383,93.8144329897
3,97.653612424,0.0657256495309,99.7412664183,98.6173633441,92.8831011508,97.1905846621,0.0774867931634,99.6054953225,97.5609756098,92.7835051546
4,96.5395003376,0.0608914910094,99.5160644507,99.1836734694,88.3101150818,95.9757023538,0.120271383242,99.3735643026,97.994269341,88.1443298969
5,99.0884537475,0.0578678747593,99.9490766682,99.320568252,97.395517868,97.6461655277,0.0544549540242,99.757526661,96.8503937008,95.1030927835
6,99.3754220122,0.0534378205414,99.9617392844,99.3276283619,98.4251968504,98.3295368261,0.0467890043804,99.8238322994,96.6836734694,97.6804123711
7,98.4216745442,0.0524696387012,99.8704484924,99.0551181102,95.2453058752,97.4183750949,0.0731559427103,99.6859498629,97.8378378378,93.2989690722
8,99.3501012829,0.0447143611676,99.9837201262,99.6612257468,98.001211387,98.2536066819,0.0498406326436,99.8049670969,97.6501305483,96.3917525773
9,99.577987846,0.0471214154266,99.9913214169,99.5127892814,98.9703210176,97.722095672,0.0578937707363,99.7414357529,97.6063829787,94.587628866
10,98.6411208643,0.0505717812291,99.9202307447,99.1857187598,95.9115687462,96.8109339408,0.0907356266212,99.4828715058,98.0555555556,90.9793814433
11,99.4176232275,0.0462401557224,99.9908501014,99.7844163844,98.1223500909,97.5702353834,0.0696989978588,99.706826429,97.0899470899,94.587628866
12,99.4598244429,0.0477798467359,99.9844182401,99.3296770262,98.7280436099,97.6461655277,0.0686597936251,99.6634087202,96.6057441253,95.3608247423
13,99.147535449,0.0408574437934,99.9711895137,99.5357474466,97.395517868,96.7350037965,0.0905349882505,99.5427962669,97.0027247956,91.7525773196
14,98.6833220797,0.0426621780672,99.9463692621,99.7469955724,95.5178679588,97.0387243736,0.0959176511002,99.469901679,98.0716253444,91.7525773196
15,99.3079000675,0.0305846699802,99.9888266343,99.7220506485,97.7892186554,97.4943052392,0.0678608033979,99.7286739982,97.8436657682,93.5567010309
16,99.1981769075,0.0373258845928,99.9629716149,98.7830848798,98.3343428225,97.0387243736,0.0922347832536,99.4677516008,95.5613577023,94.3298969072
17,99.5864280891,0.0384897048859,99.9881710451,99.6641221374,98.8491823137,97.1146545178,0.0866919286555,99.6085470465,95.8115183246,94.3298969072
18,98.9196488859,0.0376834524077,99.9178954298,99.3777224642,96.729254997,96.6590736522,0.108321386764,99.3809855404,95.9893048128,92.5257731959
19,99.569547603,0.0374640951519,99.9887486723,99.6335877863,98.8188976378,97.8739559605,0.0655011360561,99.7000987649,97.1204188482,95.618556701
20,98.3119513842,0.0433826112593,99.7969950415,97.7818853974,96.1235614779,95.8997722096,0.136189872669,99.0346148724,94.414893617,91.4948453608
21,99.1306549629,0.0364073236296,99.9604236765,99.0794722307,97.7892186554,96.8109339408,0.107757467299,99.334793537,95.7671957672,93.2989690722
22,99.6455097907,0.0333194394972,99.9915765651,99.7861942578,98.9400363416,97.1905846621,0.0797923184909,99.5888495556,97.3045822102,93.0412371134
23,98.826806212,0.0341717682925,99.9731562813,99.9053329126,95.8812840703,95.8238420653,0.14516359493,99.2642570994,97.7077363897,87.8865979381
24,98.5482781904,0.0364811647255,99.9194369503,99.0595611285,95.6995760145,95.9757023538,0.150679376703,98.9529118995,95.6403269755,90.4639175258
25,98.9702903444,0.0306318194475,99.9552073129,99.5945102932,96.698970321,96.6590736522,0.124880403574,99.211545504,95.7446808511,92.7835051546
26,98.9449696151,0.0322008999048,99.9539590357,99.4397759104,96.7595396729,95.8997722096,0.134060692192,99.2187586697,96.1325966851,89.6907216495
27,98.7761647535,0.033028716712,99.9178254412,99.5915802702,96.0024227741,95.8238420653,0.126409883631,99.2076614917,95.3678474114,90.206185567
28,99.6708305199,0.0274035557876,99.991371029,99.4843797392,99.333737129,96.5072133637,0.108101137774,99.4205885943,94.3005181347,93.8144329897
29,99.358541526,0.0314293036522,99.9775035462,99.569760295,98.1223500909,96.9627942293,0.105475169422,99.407133266,95.7894736842,93.8144329897
30,99.0462525321,0.0350240503415,99.9644564358,99.6883764413,96.8806783767,95.747911921,0.139055633667,99.2812496532,95.6043956044,89.6907216495
31,98.7677245105,0.0338387608872,99.8914105132,99.4360902256,96.1235614779,95.6719817768,0.133399631822,99.0503589937,95.0953678474,89.9484536082
