epoch,accuracy,loss,roc_auc,precision,recall,val_accuracy,val_loss,val_roc_auc,val_precision,val_recall
0,84.3691095794,0.467968696441,89.1036655394,87.8845489112,51.1569416499,83.8987341772,0.394084535626,88.3778007908,88.7147335423,50.0884955752
1,87.3484315656,0.337227923441,92.2268436827,84.3927713889,67.1830985915,87.417721519,0.313908755236,92.0973451327,85.601799775,67.3451327434
2,88.6819524546,0.297421505974,93.6091640646,84.1037463977,73.4004024145,87.8481012658,0.294417747229,92.8518169836,83.2991803279,71.9469026549
3,89.2952595302,0.278269434168,94.328750083,90.092798327,69.3460764588,88.4810126582,0.29209951606,93.1636775874,88.8377445339,68.3185840708
4,90.6203404136,0.256276337655,95.7473071194,89.9395405079,74.8289738431,89.164556962,0.264410418106,94.1867821503,87.8232758621,72.1238938053
5,91.2252074835,0.236402851785,96.1120142059,90.7223880597,76.4386317907,89.3670886076,0.262125135585,94.4191301073,87.8464818763,72.9203539823
6,91.973554649,0.219220344885,96.7997113711,91.7914848449,78.2997987928,90.0253164557,0.254778594533,94.7151587899,89.3162393162,73.982300885
7,92.9413419609,0.199271709487,97.5248443404,93.0084500521,80.8350100604,90.0,0.261914525787,94.8065728363,88.1619937695,75.1327433628
8,93.4252356168,0.18389975388,97.9297663544,96.2751065125,79.5674044266,89.9746835443,0.293096743415,94.5629511078,91.7045454545,71.4159292035
9,93.7121958081,0.168613367908,97.9981422415,93.9632545932,82.8370221328,89.4430379747,0.274254162749,94.5677681541,85.6143856144,75.8407079646
10,94.2157828105,0.155480329127,98.2203100462,94.2225712363,84.4969818913,89.8987341772,0.337476725367,94.192987824,86.5134865135,76.6371681416
11,95.177943452,0.143863150002,98.6931610165,96.3802435724,85.985915493,90.6582278481,0.284240871638,95.2002290843,88.0880880881,77.8761061947
12,94.6631031087,0.129983462351,98.4670503002,93.4428000432,87.0221327968,89.6962025316,0.298849747377,94.7285900333,83.6279069767,79.5575221239
13,94.9388099592,0.12053388628,98.6627456597,96.2084232035,85.2615694165,90.5316455696,0.32381375002,95.0598914203,88.2591093117,77.1681415929
14,94.5899563933,0.119196103512,98.4579757396,97.0978733404,83.138832998,89.2911392405,0.398217806786,93.6156326492,87.2497365648,73.2743362832
15,95.6787171191,0.109812139407,98.9420697196,97.0338034475,87.2132796781,90.3544303797,0.370719788406,94.8161127848,87.1159563925,77.7876106195
16,95.0260233507,0.108162905798,98.7067441753,98.4812529663,83.5010060362,90.2025316456,0.382281660913,94.3471254629,90.6900328587,73.2743362832
17,96.0500773667,0.104003279884,99.0909345941,99.2045192529,86.569416499,90.5316455696,0.374622160242,94.9631582251,89.7058823529,75.5752212389
18,96.2104374736,0.103201702031,99.1361940438,98.6084398688,87.6861167002,91.0379746835,0.398944758433,95.3092245654,88.3399209486,79.1150442478
19,96.0528907019,0.0934984306374,99.055051457,99.204610951,86.5794768612,90.4810126582,0.418961832538,94.6559106885,89.1078838174,76.017699115
20,96.2667041778,0.0893562093115,99.1514877195,99.0322213367,87.5050301811,90.9873417722,0.412934383018,94.9866315195,89.4093686354,77.6991150442
21,94.7643831763,0.0920772215508,98.4805126404,95.6492259012,85.1509054326,89.3670886076,0.464754123688,94.1542004017,86.2985685072,74.6902654867
22,96.0866507244,0.0990905542844,99.0910567879,99.228377289,86.6800804829,90.6329113924,0.459709375327,94.6633716187,90.1691331924,75.4867256637
23,96.4129976087,0.092929776599,99.1938303321,99.2945727614,87.7967806841,91.3670886076,0.346965507073,95.4664846545,89.888776542,78.6725663717
24,96.4833309889,0.0914059680658,99.2289546692,99.6912168344,87.6961770624,91.0126582278,0.397843848633,95.072930396,90.4911180773,76.6371681416
25,95.6280770854,0.0899710725751,98.896287803,97.4535989135,86.629778672,90.5063291139,0.428202002516,94.8305717693,87.3392680514,78.1415929204
26,96.2667041778,0.0970333345872,99.1440188681,99.2678183274,87.2937625755,91.1392405063,0.378627301258,95.144613381,90.625,76.9911504425
27,96.1063440709,0.0903228179851,99.0977354068,99.8717649802,86.1871227364,90.7594936709,0.452364936448,94.7619641624,92.7374301676,73.4513274336
28,96.4748909833,0.096412936687,99.1892529754,99.3187237425,87.9979879276,91.0379746835,0.392465320931,95.250400113,88.188976378,79.2920353982
29,96.3764242509,0.0809170662694,99.193534572,98.9366515837,87.9879275654,91.2151898734,0.51274997515,95.2784237118,88.0466472303,80.1769911504
30,96.4917709945,0.0823063466955,99.2145325576,99.8280408116,87.6056338028,90.9113924051,0.473662713902,94.9822459675,91.2299465241,75.4867256637
31,96.443944296,0.0869391286112,99.2089890446,99.5998170592,87.6358148893,90.582278481,0.381346283563,95.3333019519,89.4791666667,76.017699115
32,96.4748909833,0.0887619531386,99.2276594541,99.3860147811,87.9376257545,90.8607594937,0.434650786557,95.2128757924,89.1946992864,77.4336283186
33,96.1204107469,0.0849315668021,99.1094125778,98.6696986924,87.3038229376,90.582278481,0.435482316651,95.0109285759,87.8243512974,77.8761061947
34,96.3848642566,0.0903429232379,99.2083560728,99.3837726806,87.615694165,90.7341772152,0.410080932665,95.2887403502,88.7423935091,77.4336283186
35,96.0697707132,0.0842334746564,99.0855745683,98.0537743278,87.6861167002,90.8101265823,0.484718315481,95.0072491056,87.4146341463,79.2920353982
36,96.5592910395,0.0868370705213,99.2440422657,99.8627159364,87.8169014085,91.2405063291,0.39545173135,95.5626686751,90.6639004149,77.3451327434
37,96.5142776762,0.0801557415666,99.2236610446,99.5896500627,87.8973843058,91.164556962,0.462771273353,95.2404678968,90.3826266805,77.3451327434
38,96.6014910677,0.0844947823049,99.2589980421,99.7379813169,88.0784708249,91.2658227848,0.460385284846,95.034684303,89.6064581231,78.5840707965
39,96.3145308764,0.0891138398407,99.1650891484,99.1122239927,87.6056338028,90.8101265823,0.401192290602,95.1044137953,88.8551165147,77.610619469
40,96.5367843579,0.0825866908952,99.2345720486,99.6805476326,87.8973843058,91.1392405063,0.455356279657,95.1426520429,89.8773006135,77.7876106195
41,95.945983964,0.0832374074742,99.0815797932,97.1904497501,88.0482897384,90.253164557,0.428098721263,95.3565477311,85.1083883129,79.9115044248
42,96.5283443522,0.0793708193355,99.2316862511,99.6691008672,87.8772635815,91.2911392405,0.42883317718,95.4594787548,90.3490759754,77.8761061947
43,96.4608243072,0.0823653401137,99.2082219936,99.2959345901,87.967806841,91.4430379747,0.456718531319,95.4648606665,89.8390342052,79.0265486726
44,96.4777043185,0.0894691917992,99.2124107661,99.3748579223,87.9577464789,91.0632911392,0.446123079831,95.2814912446,88.8111888112,78.6725663717
