epoch,accuracy,loss,roc_auc,precision,recall,val_accuracy,val_loss,val_roc_auc,val_precision,val_recall
0,99.7383524646,0.0406411759115,99.8760999347,99.8488512696,99.2189846801,99.1647684131,0.0715147219315,99.8299122614,98.6111111111,98.3379501385
1,99.7974341661,0.022360792005,99.897384501,99.8491704374,99.4292580354,98.9369779803,0.0510106033822,99.8705507713,98.0609418283,98.0609418283
2,99.8311951384,0.0159137764123,99.9150204104,99.8493522145,99.5494142385,99.1647684131,0.0623774081502,99.8479496749,98.6111111111,98.3379501385
3,99.8480756246,0.0148460540682,99.9164149925,99.939668175,99.5193751877,98.9369779803,0.0743441754979,99.868739786,98.8732394366,97.2299168975
4,99.5189061445,0.0185726687305,99.8713299704,99.2771084337,99.0087113247,98.6332574032,0.0641940765507,99.8484567508,97.7715877437,97.2299168975
5,99.8058744092,0.0180733296126,99.9339944839,99.8792999396,99.4292580354,99.3166287016,0.043302273865,99.8875015937,98.8888888889,98.6149584488
6,99.89027684,0.00951993768021,99.9413076652,99.9096929561,99.6996094923,98.9369779803,0.0543720202414,99.8656973308,98.0609418283,98.0609418283
7,99.9409182984,0.00689026430406,99.9445032151,99.9098557692,99.8798437969,99.2406985573,0.0683936166202,99.838460112,98.6149584488,98.6149584488
8,99.9071573261,0.00792684677935,99.9459586228,99.8497596154,99.8197656954,99.0129081245,0.065410742045,99.8661319672,97.5409836066,98.891966759
9,99.9240378123,0.0148329926941,99.9514064845,99.9398315283,99.7897266446,99.0888382688,0.0630641401229,99.8165834096,98.6072423398,98.0609418283
10,99.7721134369,0.00861755647662,99.9502375744,99.6989765202,99.489336137,98.6332574032,0.0818183507948,99.7634853209,98.0392156863,96.9529085873
11,99.8480756246,0.0097337667268,99.9514364565,99.7296485431,99.7296485431,98.6332574032,0.0795791440491,99.7704395044,97.5069252078,97.5069252078
12,99.9155975692,0.00841454058305,99.9490563228,99.9097744361,99.7897266446,98.7851176917,0.0695039866565,99.8635965878,97.783933518,97.783933518
13,99.8480756246,0.0156556559516,99.9672467152,99.64017991,99.8197656954,99.0129081245,0.10251175569,99.7581972438,97.2826086957,99.1689750693
14,99.8311951384,0.0142593187407,99.9717337081,99.7593984962,99.6395313908,98.7091875475,0.0489991350338,99.8639587849,98.0446927374,97.2299168975
15,99.9324780554,0.00903327278599,99.970622979,99.9398496241,99.8197656954,98.861047836,0.0876876387459,99.8189014708,97.5274725275,98.3379501385
16,99.8311951384,0.00624595836708,99.9664551004,99.5507637017,99.8498047462,98.6332574032,0.0853567246279,99.7390007997,96.9863013699,98.0609418283
17,98.4976367319,0.0184658359006,99.9376378516,99.7159987378,94.9234004205,97.5702353834,0.0897729000644,99.6053500852,98.5250737463,92.5207756233
18,99.6961512492,0.0198864076892,99.9601160109,99.6681749623,99.2490237309,98.4813971147,0.0779549065516,99.7129950509,98.0281690141,96.3988919668
19,99.8143146523,0.0114219864444,99.9631096902,99.7592536864,99.5794532893,98.6332574032,0.0705940401862,99.7681938826,98.0392156863,96.9529085873
20,99.9240378123,0.00627044620394,99.9685531442,99.9098015634,99.8197656954,98.9369779803,0.0793973215807,99.7028535333,98.0609418283,98.0609418283
21,99.9409182984,0.00564788965252,99.9672290846,99.9098557692,99.8798437969,99.0129081245,0.0725875580177,99.7894910697,97.8021978022,98.6149584488
22,99.9493585415,0.00476327164968,99.9701346108,99.939885783,99.8798437969,99.0888382688,0.0827596650596,99.7418259368,98.6072423398,98.0609418283
23,99.9493585415,0.00450320792339,99.9700993496,99.939885783,99.8798437969,99.0888382688,0.0825935740598,99.7448683921,98.3379501385,98.3379501385
24,99.9493585415,0.00448248110182,99.9701310847,99.939885783,99.8798437969,99.0888382688,0.0832296490937,99.7460998621,98.3379501385,98.3379501385
25,99.9493585415,0.00448121743091,99.9701037573,99.939885783,99.8798437969,99.1647684131,0.0838404520862,99.7468966956,98.6111111111,98.3379501385
26,99.9493585415,0.00447990864639,99.9700878897,99.939885783,99.8798437969,99.1647684131,0.0843520918228,99.7479832868,98.6111111111,98.3379501385
27,99.9493585415,0.00447842203665,99.9700746667,99.939885783,99.8798437969,99.1647684131,0.0848214501209,99.7489974385,98.6111111111,98.3379501385
28,99.9493585415,0.00447736789749,99.9700579176,99.939885783,99.8798437969,99.1647684131,0.0852510604852,99.7495045144,98.6111111111,98.3379501385
29,99.9493585415,0.00447607457989,99.9700526285,99.939885783,99.8798437969,99.1647684131,0.0857065003744,99.7498667115,98.6111111111,98.3379501385
30,99.9493585415,0.00447480686142,99.9700288271,99.939885783,99.8798437969,99.1647684131,0.0860957133373,99.7496493932,98.6111111111,98.3379501385
