epoch,accuracy,loss,roc_auc,precision,recall,val_accuracy,val_loss,val_roc_auc,val_precision,val_recall
0,84.0371360248,0.487893072813,88.1159577068,78.5848298043,58.9939637827,84.582278481,0.36947263102,88.4311256512,81.8070818071,59.2920353982
1,87.0192713462,0.346168147675,91.9482614295,81.5670934092,69.2253521127,87.0126582278,0.317551116008,91.5533562418,82.4395373291,69.3805309735
2,87.8435785624,0.305343835483,92.5280509458,85.7852502866,67.7565392354,87.6455696203,0.303626400594,92.1740569886,86.3122171946,67.5221238938
3,89.6469264313,0.284311193265,94.5015600339,88.6133728103,72.2635814889,88.7088607595,0.283522614105,93.5362769096,86.8534482759,71.3274336283
4,89.7566465044,0.266215124761,94.955464087,88.1064730792,73.2595573441,88.9367088608,0.2730702533,93.67765016,87.0588235294,72.0353982301
5,90.0942467295,0.253004007486,95.2593013657,91.5146811538,71.1770623742,89.3924050633,0.286778903732,93.738333961,90.5359179019,70.2654867257
6,90.6315937544,0.239073723672,95.9029048338,91.0865241174,73.7122736419,89.1139240506,0.273784319781,94.035908178,88.6313465784,71.0619469027
7,91.4530876354,0.228914374279,96.4636890863,89.8314866113,78.2997987928,89.1898734177,0.282179777109,94.0298123392,86.3495346432,73.8938053097
8,92.1339147559,0.216698014132,96.9641747183,92.6864244742,78.0281690141,89.4936708861,0.268896509816,94.3723168895,87.7507919747,73.5398230088
9,91.7203544802,0.206381949836,96.8138354635,87.858456877,81.6800804829,89.1392405063,0.279887595448,94.4337538442,83.8647342995,76.814159292
10,92.471514981,0.1968898735,97.1144606361,92.901015828,79.1247484909,89.4936708861,0.265592238828,94.5203351535,88.0724174654,73.185840708
11,93.0820087213,0.187436870163,97.6233932594,92.0422614364,82.384305835,90.0759493671,0.266547470274,94.8753687316,86.1764705882,77.7876106195
12,93.4618089745,0.178904982593,97.9038314048,92.5665101721,83.3098591549,90.0,0.271965624426,94.8420259838,86.2783810464,77.3451327434
13,94.1651427768,0.166992136017,98.1986979483,95.2276908924,83.3098591549,89.9240506329,0.272618823776,94.8346278165,88.2845188285,74.6902654867
14,93.7572091715,0.158096974547,98.1234363808,97.0276525764,80.1307847082,90.1772151899,0.29115325638,94.4891028055,91.40625,72.4778761062
15,94.6715431144,0.152092138537,98.4331967199,97.0856741573,83.4507042254,90.0759493671,0.310698499695,94.4545283374,89.6774193548,73.8053097345
16,94.5308763539,0.145519390947,98.4651118977,97.5725844836,82.4949698189,90.1012658228,0.304711106065,94.7014294232,89.9459459459,73.6283185841
17,94.5702630468,0.140187150198,98.5361219259,97.3292365871,82.8571428571,90.2278481013,0.308662489064,94.7009743928,90.2597402597,73.8053097345
18,94.9810099873,0.134256650174,98.6218160358,96.3409090909,85.291750503,89.8734177215,0.317041922219,94.6395217473,86.7943548387,76.1946902655
19,94.8937965959,0.127995037308,98.6754599065,97.4979539343,83.893360161,90.1012658228,0.341158624737,94.248509383,89.6034297964,73.982300885
20,95.0091433394,0.124390243442,98.6363704586,96.2296195652,85.5030181087,89.7215189873,0.322228329831,94.5909590159,86.127744511,76.3716814159
21,95.6590237727,0.121418081348,98.9422005574,98.7574033213,85.5533199195,90.0253164557,0.368782182147,94.4930254817,89.3162393162,73.982300885
22,94.4746096497,0.121523482944,98.349980669,96.5452847806,83.2193158954,90.0759493671,0.332668237354,94.4572506747,88.7605042017,74.7787610619
23,95.4423969616,0.116824077413,98.8892468264,98.8262910798,84.708249497,90.2278481013,0.344214902784,94.4987290529,90.522875817,73.5398230088
24,95.4142636095,0.108892038192,98.814679917,97.7366727941,85.583501006,90.3544303797,0.374433214936,94.5869029687,88.9698231009,75.6637168142
