epoch,accuracy,loss,roc_auc,precision,recall,val_accuracy,val_loss,val_roc_auc,val_precision,val_recall
0,88.141458474,0.448910818882,93.0560505235,85.9485650391,69.1661667666,88.9901290812,0.268329581983,94.3317471267,84.3648208469,72.7528089888
1,89.8295070898,0.307199659157,94.7358070669,84.9130862578,77.6544691062,90.8883826879,0.231672323918,95.5094178583,83.908045977,82.0224719101
2,91.2812288994,0.271334217473,95.8619701359,89.1726251277,78.5542891422,92.1791951405,0.222492725449,95.7739480176,89.4080996885,80.6179775281
3,90.9014179608,0.254233593764,96.3037255128,81.1774461028,88.0923815237,90.8883826879,0.235221022603,96.3632218312,79.797979798,88.7640449438
4,92.1336934504,0.242116442797,96.7255509434,90.3833221251,80.623875225,92.7866362946,0.203447747814,96.4231430275,90.4024767802,82.0224719101
5,92.6738690074,0.230791628074,97.0033926618,87.8220858896,85.8728254349,92.7107061503,0.19872351974,96.7201183224,85.7142857143,87.6404494382
6,93.264686023,0.222004482622,97.4613481109,88.0095923261,88.0623875225,92.6347760061,0.195565345528,96.9010511055,85.0948509485,88.202247191
7,92.9270762998,0.212397070641,97.360011789,86.7924528302,88.3023395321,93.3181473045,0.204208974528,96.8528218499,85.6382978723,90.4494382022
8,93.7373396354,0.199291114134,97.757184821,88.5026737968,89.3521295741,92.5588458618,0.200093554009,97.0623998878,84.3085106383,89.0449438202
9,94.0665091155,0.194405469176,98.085927212,93.1736133902,85.1529694061,93.0144267274,0.190512280416,96.7724397573,87.7142857143,86.2359550562
epoch,accuracy,loss,roc_auc,precision,recall,val_accuracy,val_loss,val_roc_auc,val_precision,val_recall
0,85.7022282242,0.510479115941,91.6734887695,72.7904391329,78.5542891422,87.0159453303,0.327520708266,92.9184837891,73.2997481108,81.7415730337
1,88.7322754895,0.334314369178,94.3494845781,88.4867154409,68.926214757,89.3697798026,0.255352668085,94.9753153901,87.5,70.7865168539
2,90.5047265361,0.2908074463,95.4644747583,85.2087982149,80.173965207,91.192103265,0.239933960485,95.7385798969,84.0909090909,83.1460674157
3,90.1839972991,0.270361085605,95.7924148081,92.5186055621,70.8458308338,90.5846621109,0.233925303638,95.9200972769,89.7260273973,73.595505618
4,92.2602970966,0.243877673133,96.9161743761,87.7302528879,84.2831433713,93.2422171602,0.207493166559,96.6318441698,88.2521489971,86.5168539326
5,92.623227549,0.230734751172,97.0914361877,88.7035871617,84.5530893821,92.9384965831,0.199283462496,96.7990389225,86.6295264624,87.3595505618
6,92.7076299797,0.219533563032,97.3037554223,88.7147335423,84.8830233953,92.1032649962,0.212172914475,96.4561727601,86.4161849711,83.9887640449
7,92.1336934504,0.208521653709,97.4462788908,95.1503759398,75.9148170366,91.8754745634,0.216210382674,96.4058974149,91.0891089109,77.5280898876
8,93.9230249831,0.203248269096,98.0134707731,91.4131812421,86.5326934613,93.2422171602,0.187823661232,97.050707947,88.2521489971,86.5168539326
9,94.3450371371,0.197629307484,98.0810576785,92.2320862397,87.2525494901,93.9255884586,0.181320466209,97.1243671737,88.9830508475,88.4831460674
